Field,[RMS2003],xpos,ypos,Per (days),A (mag),Jsmag,Hmag,<Ks>mag,prob,log_m,Mass (M_Solar),jks_008,log_t,age_008 (years),delta_t (years),J-Ks,Mass,Kcor_008,age_008,delta_t
F1,670,437.063,810.658,173,0.193,21.61,20.78,20.26,87.25,0.15766999999999998,1.44,1.4499999999999993,9.45052279,2821777655.0,1291960,1.4499999999999993,1.4377057179828734,20.1,2821777654.567971,1291959.9645290216
F1,632,687.298,541.673,290,0.217,21.97,20.98,20.26,96.37,0.15766999999999998,1.44,1.8099999999999987,9.45052279,2821777655.0,1291960,1.8099999999999987,1.4377057179828734,20.1,2821777654.567971,1291959.9645290216
F1,683,682.074,17.049,411,0.475,22.41,21.52,20.35,117.01,0.1598157099567108,1.44,1.7,9.443521338411253,2776651269.0,1311561,2.16,1.4448265378851184,20.09208225108225,2776651269.370418,1311561.1999856608
F1,641,198.166,560.71,182,0.179,21.24,20.54,20.25,85.31,0.1603800000000004,1.45,1.0899999999999999,9.441680059999998,2764904020.0,1316711,1.0899999999999999,1.4467050584836112,20.09,2764904020.3713274,1316711.3491238372
F1,386,844.386,709.244,450,0.601,21.28,20.33,20.25,108.02,0.1603800000000004,1.45,1.1300000000000026,9.441680059999998,2764904020.0,1316711,1.1300000000000026,1.4467050584836112,20.09,2764904020.3713274,1316711.3491238372
F1,579,83.866,395.534,170,0.237,21.32,20.64,20.24,91.81,0.16309000000000085,1.46,1.1800000000000033,9.432837329999996,2709176688.0,1341408,1.1800000000000033,1.4557607304911626,20.08,2709176688.492844,1341407.5950585161
F1,494,380.188,672.565,403,0.476,21.09,20.42,20.23,118.33,0.1658000000000004,1.46,0.9600000000000009,9.423994599999999,2654572555.0,1366023,0.9600000000000009,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,350,895.862,228.496,481,0.67,22.04,20.98,20.23,94.88,0.1658000000000004,1.46,1.9100000000000001,9.423994599999999,2654572555.0,1366023,1.9100000000000001,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,410,15.327,271.408,428,0.483,21.21,20.19,20.23,113.58,0.1658000000000004,1.46,1.0800000000000018,9.423994599999999,2654572555.0,1366023,1.0800000000000018,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,435,361.769,514.58,357,0.384,21.23,20.63,20.23,116.82,0.1658000000000004,1.46,1.1000000000000014,9.423994599999999,2654572555.0,1366023,1.1000000000000014,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,590,147.305,746.683,322,0.238,21.65,20.69,20.23,102.41,0.1658000000000004,1.46,1.5199999999999996,9.423994599999999,2654572555.0,1366023,1.5199999999999996,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,610,875.921,243.44,431,0.141,21.54,20.77,20.23,87.47,0.1658000000000004,1.46,1.4100000000000001,9.423994599999999,2654572555.0,1366023,1.4100000000000001,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,567,796.243,303.054,393,0.396,21.29,20.7,20.23,116.3,0.1658000000000004,1.46,1.1600000000000001,9.423994599999999,2654572555.0,1366023,1.1600000000000001,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,685,502.782,296.07,354,0.382,21.72,20.73,20.23,116.6,0.1658000000000004,1.46,1.5899999999999999,9.423994599999999,2654572555.0,1366023,1.5899999999999999,1.4648730866134358,20.07,2654572554.9226832,1366023.2198462572
F1,552,424.36,615.109,404,0.447,21.27,20.65,20.22,117.25,0.16851000000000083,1.47,1.1500000000000021,9.415151869999997,2601068981.0,1390532,1.1500000000000021,1.4740424816655033,20.06,2601068981.318048,1390532.1458092432
F1,663,49.071,207.327,306,0.307,21.49,20.42,20.22,106.82,0.16851000000000083,1.47,1.370000000000001,9.415151869999997,2601068981.0,1390532,1.370000000000001,1.4740424816655033,20.06,2601068981.318048,1390532.1458092432
F1,533,308.464,660.672,376,0.381,21.54,20.75,20.22,116.59,0.16851000000000083,1.47,1.4200000000000017,9.415151869999997,2601068981.0,1390532,1.4200000000000017,1.4740424816655033,20.06,2601068981.318048,1390532.1458092432
F1,504,46.923,287.125,369,0.407,21.25,20.56,20.22,118.2,0.16851000000000083,1.47,1.1300000000000026,9.415151869999997,2601068981.0,1390532,1.1300000000000026,1.4740424816655033,20.06,2601068981.318048,1390532.1458092432
F1,519,360.972,822.938,397,0.411,21.65,20.76,20.21,116.63,0.17122000000000037,1.48,1.5399999999999991,9.40630914,2548643786.0,1414908,1.5399999999999991,1.4832692726833954,20.05,2548643785.617687,1414907.7369370253
F1,462,605.738,856.93,371,0.328,21.46,99.99,20.21,113.09,0.17122000000000037,1.48,1.3500000000000014,9.40630914,2548643786.0,1414908,1.3500000000000014,1.4832692726833954,20.05,2548643785.617687,1414907.7369370253
F1,623,445.251,779.298,447,0.035,21.74,21.0,20.21,71.69,0.17122000000000037,1.48,1.629999999999999,9.40630914,2548643786.0,1414908,1.629999999999999,1.4832692726833954,20.05,2548643785.617687,1414907.7369370253
F1,603,122.595,494.816,371,0.228,21.71,20.86,20.21,103.87,0.17122000000000037,1.48,1.6000000000000014,9.40630914,2548643786.0,1414908,1.6000000000000014,1.4832692726833954,20.05,2548643785.617687,1414907.7369370253
F1,669,819.291,784.309,359,0.298,21.67,21.01,20.2,110.6,0.1739300000000008,1.49,1.5700000000000038,9.397783949999997,2499101815.0,1440175,1.5700000000000038,1.4925538189380265,20.04,2499101815.4560695,1440175.4564501627
F1,528,677.816,585.615,324,0.281,21.19,20.23,20.2,106.74,0.1739300000000008,1.49,1.0900000000000034,9.397783949999997,2499101815.0,1440175,1.0900000000000034,1.4925538189380265,20.04,2499101815.4560695,1440175.4564501627
F1,397,519.331,615.644,389,0.424,21.01,20.28,20.19,118.06,0.17664000000000035,1.5,0.9200000000000017,9.391049599999999,2460648614.0,1471346,0.9200000000000017,1.5018964819491614,20.03,2460648614.4002776,1471345.6784897328
F1,584,459.402,172.627,268,0.246,21.56,20.71,20.19,96.32,0.17664000000000035,1.5,1.4699999999999989,9.391049599999999,2460648614.0,1471346,1.4699999999999989,1.5018964819491614,20.03,2460648614.4002776,1471345.6784897328
F1,522,34.853,649.853,174,0.237,21.2,20.34,20.19,91.52,0.17664000000000035,1.5,1.1099999999999994,9.391049599999999,2460648614.0,1471346,1.1099999999999994,1.5018964819491614,20.03,2460648614.4002776,1471345.6784897328
F1,566,143.276,386.319,275,0.165,21.29,20.54,20.18,88.9,0.1793500000000008,1.51,1.2100000000000009,9.384315249999998,2422787085.0,1502567,1.2100000000000009,1.5112976254995147,20.02,2422787085.3853235,1502566.7220270073
F1,383,549.156,223.944,432,0.508,21.14,20.23,20.17,113.06,0.1820599999999999,1.52,1.0700000000000003,9.3775809,2385508124.0,1533808,1.0700000000000003,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,530,783.447,536.537,248,0.258,22.03,20.92,20.17,95.05,0.1820599999999999,1.52,1.9600000000000009,9.3775809,2385508124.0,1533808,1.9600000000000009,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,536,526.016,793.034,177,0.287,21.18,20.62,20.17,95.74,0.1820599999999999,1.52,1.1099999999999994,9.3775809,2385508124.0,1533808,1.1099999999999994,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,548,436.416,426.247,486,0.185,21.61,20.55,20.17,75.79,0.1820599999999999,1.52,1.5399999999999991,9.3775809,2385508124.0,1533808,1.5399999999999991,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,503,78.869,286.741,432,0.433,21.79,20.87,20.17,110.97,0.1820599999999999,1.52,1.7199999999999989,9.3775809,2385508124.0,1533808,1.7199999999999989,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,588,69.022,385.081,451,0.217,21.71,20.81,20.17,90.59,0.1820599999999999,1.52,1.6400000000000006,9.3775809,2385508124.0,1533808,1.6400000000000006,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,452,312.709,620.715,349,0.314,21.16,20.18,20.17,111.58,0.1820599999999999,1.52,1.0899999999999999,9.3775809,2385508124.0,1533808,1.0899999999999999,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,485,468.489,89.196,447,0.335,21.31,20.35,20.17,101.47,0.1820599999999999,1.52,1.2399999999999984,9.3775809,2385508124.0,1533808,1.2399999999999984,1.5207576156488911,20.01,2385508124.4668403,1533808.3955463632
F1,945,369.763,611.692,461,0.429,23.35,21.72,20.6,101.54,0.18406317099567504,1.53,1.7,9.372603020075747,2358321553.0,1556897,2.8500000000000014,1.5277882689530264,20.00260822510821,2358321552.944832,1556896.5717259657
F1,472,637.803,504.423,443,0.214,21.11,20.41,20.16,92.51,0.18477000000000032,1.53,1.0500000000000007,9.37084655,2348802768.0,1565040,1.0500000000000007,1.530276820748469,20.0,2348802767.7810693,1565039.5856292476
F1,1199,808.362,642.118,579,0.658,24.94,22.75,21.12,26.38,0.18580590043290712,1.53,1.7,9.368272337424226,2334921786.0,1576968,3.9200000000000017,1.5339312684947337,19.996177489177466,2334921786.2685046,1576968.2875994046
F1,319,83.836,591.37,483,0.62,21.56,20.22,20.15,94.6,0.18748000000000076,1.54,1.5100000000000016,9.364112199999997,2312662189.0,1596228,1.5100000000000016,1.539855611455112,19.99,2312662189.3895283,1596228.2955187843
F1,527,378.87,746.828,189,0.18,21.43,20.55,20.15,85.15,0.18748000000000076,1.54,1.3800000000000026,9.364112199999997,2312662189.0,1596228,1.3800000000000026,1.539855611455112,19.99,2312662189.3895283,1596228.2955187843
F1,424,99.815,4.421,459,0.467,21.55,20.38,20.15,103.5,0.18748000000000076,1.54,1.5000000000000036,9.364112199999997,2312662189.0,1596228,1.5000000000000036,1.539855611455112,19.99,2312662189.3895283,1596228.2955187843
F1,465,202.571,650.247,301,0.196,21.41,20.61,20.15,95.56,0.18748000000000076,1.54,1.360000000000003,9.364112199999997,2312662189.0,1596228,1.360000000000003,1.539855611455112,19.99,2312662189.3895283,1596228.2955187843
F1,343,87.019,36.775,386,0.447,21.01,20.29,20.14,119.25,0.1901900000000003,1.55,0.9700000000000024,9.357377849999999,2277077699.0,1627342,0.9700000000000024,1.5494943607458185,19.98,2277077699.1567864,1627341.6874742792
F1,561,159.943,560.438,384,0.385,21.38,20.94,20.14,116.42,0.1901900000000003,1.55,1.3399999999999999,9.357377849999999,2277077699.0,1627342,1.3399999999999999,1.5494943607458185,19.98,2277077699.1567864,1627341.6874742792
F1,583,656.805,627.704,413,0.427,21.44,20.73,20.14,114.96,0.1901900000000003,1.55,1.4000000000000021,9.357377849999999,2277077699.0,1627342,1.4000000000000021,1.5494943607458185,19.98,2277077699.1567864,1627341.6874742792
F1,468,776.724,505.933,277,0.279,21.79,21.03,20.14,100.48,0.1901900000000003,1.55,1.75,9.357377849999999,2277077699.0,1627342,1.75,1.5494943607458185,19.98,2277077699.1567864,1627341.6874742792
F1,828,881.336,780.161,287,0.228,22.64,21.82,20.35,97.09,0.19048153030303183,1.55,1.7,9.356653397196967,2273282440.0,1630683,2.3900000000000006,1.5505348441703588,19.978924242424238,2273282439.798877,1630682.846719128
F1,317,400.985,356.026,404,0.48,20.94,20.07,20.13,118.29,0.19290000000000074,1.56,0.9100000000000037,9.350643499999999,2242040741.0,1658346,0.9100000000000037,1.5591934439322506,19.97,2242040740.660808,1658346.1289034479
F1,474,557.936,724.268,189,0.19,21.28,20.41,20.13,86.18,0.19290000000000074,1.56,1.2500000000000036,9.350643499999999,2242040741.0,1658346,1.2500000000000036,1.5591934439322506,19.97,2242040740.660808,1658346.1289034479
F1,628,372.952,316.404,380,0.278,21.8,21.32,20.12,108.57,0.20009999999999994,1.59,1.7800000000000011,9.3327515,2151550282.0,1739929,1.7800000000000011,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F1,509,101.341,95.678,376,0.292,21.32,20.6,20.12,109.99,0.20009999999999994,1.59,1.3000000000000007,9.3327515,2151550282.0,1739929,1.3000000000000007,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F1,483,120.61,235.796,329,0.313,21.21,20.19,20.12,109.99,0.20009999999999994,1.59,1.1900000000000013,9.3327515,2151550282.0,1739929,1.1900000000000013,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F1,587,90.366,126.397,356,0.345,21.45,20.43,20.12,114.24,0.20009999999999994,1.59,1.4299999999999997,9.3327515,2151550282.0,1739929,1.4299999999999997,1.5852581696229442,19.96,2151550281.7339773,1739928.93149748
F1,323,563.345,653.749,416,0.478,21.02,20.14,20.11,116.15,0.20220000000000016,1.59,1.0100000000000016,9.327532999999999,2125851873.0,1763438,1.0100000000000016,1.5929421351276283,19.95,2125851872.589618,1763437.682070616
F1,524,58.562,617.082,442,0.341,21.33,20.72,20.1,103.36,0.2042999999999997,1.6,1.3299999999999983,9.322314500000001,2100460409.0,1786787,1.3299999999999983,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F1,549,748.629,626.308,333,0.193,21.45,20.56,20.1,98.61,0.2042999999999997,1.6,1.4499999999999993,9.322314500000001,2100460409.0,1786787,1.4499999999999993,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F1,431,399.194,565.095,183,0.226,21.12,20.31,20.1,89.96,0.2042999999999997,1.6,1.120000000000001,9.322314500000001,2100460409.0,1786787,1.120000000000001,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F1,314,108.418,332.33,444,0.521,21.24,20.35,20.1,109.75,0.2042999999999997,1.6,1.2399999999999984,9.322314500000001,2100460409.0,1786787,1.2399999999999984,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F1,392,570.626,170.136,463,0.448,21.22,20.32,20.1,101.43,0.2042999999999997,1.6,1.2199999999999989,9.322314500000001,2100460409.0,1786787,1.2199999999999989,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F1,423,525.791,-23.687,401,0.435,21.32,20.65,20.1,117.21,0.2042999999999997,1.6,1.3200000000000003,9.322314500000001,2100460409.0,1786787,1.3200000000000003,1.600663345875393,19.94,2100460408.7387035,1786786.5941889922
F1,466,382.225,561.735,418,0.463,21.58,21.14,20.09,115.31,0.20640000000000014,1.61,1.5899999999999999,9.317096,2075372224.0,1809958,1.5899999999999999,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F1,355,66.638,549.981,441,0.414,21.13,20.16,20.09,107.66,0.20640000000000014,1.61,1.1400000000000006,9.317096,2075372224.0,1809958,1.1400000000000006,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F1,585,70.548,307.259,316,0.264,21.62,20.46,20.09,104.29,0.20640000000000014,1.61,1.6300000000000026,9.317096,2075372224.0,1809958,1.6300000000000026,1.6084219823990862,19.93,2075372223.9848745,1809958.4802155143
F1,322,574.036,475.742,426,0.498,21.78,20.86,20.08,114.41,0.20850000000000035,1.62,1.8000000000000043,9.3118775,2050583696.0,1832936,1.8000000000000043,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F1,451,126.261,525.443,409,0.297,21.67,20.7,20.08,107.37,0.20850000000000035,1.62,1.6900000000000048,9.3118775,2050583696.0,1832936,1.6900000000000048,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F1,441,414.633,108.811,175,0.243,21.07,20.5,20.08,92.01,0.20850000000000035,1.62,1.0900000000000034,9.3118775,2050583696.0,1832936,1.0900000000000034,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F1,477,752.549,36.633,426,0.331,21.16,20.49,20.08,106.79,0.20850000000000035,1.62,1.1800000000000033,9.3118775,2050583696.0,1832936,1.1800000000000033,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F1,479,720.278,102.333,319,0.283,21.56,20.84,20.08,106.38,0.20850000000000035,1.62,1.5800000000000018,9.3118775,2050583696.0,1832936,1.5800000000000018,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F1,463,261.293,713.331,394,0.386,21.56,20.82,20.08,115.64,0.20850000000000035,1.62,1.5800000000000018,9.3118775,2050583696.0,1832936,1.5800000000000018,1.6162182261066143,19.919999999999998,2050583695.9213793,1832935.998434056
F1,633,765.892,33.885,448,0.086,22.47,21.42,20.25,77.37,0.20989363636363767,1.62,1.7,9.30841431363636,2034296789.0,1848069,2.3200000000000003,1.6214129463368567,19.91336363636363,2034296789.2044003,1848068.858645695
F1,430,144.655,456.504,563,0.604,22.9,21.2,20.39,51.86,0.21045590909091128,1.62,1.7,9.307017065909086,2027762400.0,1854147,2.6099999999999994,1.6235135180388898,19.910686147186137,2027762400.3146083,1854146.7429847508
F1,342,359.105,464.911,461,0.51,21.94,20.75,20.07,103.64,0.21060000000000012,1.62,1.9700000000000024,9.306659,2026091245.0,1855702,1.9700000000000024,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F1,312,326.187,501.922,510,0.436,21.27,20.32,20.07,79.62,0.21060000000000012,1.62,1.3000000000000007,9.306659,2026091245.0,1855702,1.3000000000000007,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F1,425,608.033,515.828,174,0.242,21.08,20.3,20.07,91.99,0.21060000000000012,1.62,1.1099999999999994,9.306659,2026091245.0,1855702,1.1099999999999994,1.6240522592851947,19.91,2026091245.407951,1855701.6729279028
F1,438,624.755,854.376,186,0.264,21.27,99.99,20.06,93.29,0.21270000000000033,1.63,1.3100000000000023,9.3014405,2001891336.0,1878238,1.3100000000000023,1.631924265105622,19.9,2001891336.0540698,1878237.9141236607
F1,456,122.608,557.688,450,0.278,21.21,20.39,20.05,96.32,0.21479999999999988,1.64,1.2600000000000016,9.296222,1977980474.0,1900527,1.2600000000000016,1.6398344276265362,19.89,1977980473.7083445,1900527.0399725228
F1,304,169.875,226.678,458,0.483,21.24,20.21,20.05,104.26,0.21479999999999988,1.64,1.2899999999999991,9.296222,1977980474.0,1900527,1.2899999999999991,1.6398344276265362,19.89,1977980473.7083445,1900527.0399725228
F1,335,259.608,230.597,446,0.476,21.05,20.12,20.05,108.25,0.21479999999999988,1.64,1.1000000000000014,9.296222,1977980474.0,1900527,1.1000000000000014,1.6398344276265362,19.89,1977980473.7083445,1900527.0399725228
F1,288,14.46,549.217,446,0.408,21.98,20.87,20.07,105.86,0.21566500000000022,1.64,1.7,9.294072475,1968214718.0,1909632,2.0100000000000016,1.6431037998455265,19.88588095238095,1968214717.6880147,1909632.0312138337
F1,396,862.867,628.918,234,0.453,21.23,20.3,20.04,105.83,0.21690000000000031,1.65,1.2900000000000027,9.291003499999999,1954355206.0,1922551,1.2900000000000027,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F1,334,86.817,788.08,380,0.342,20.99,20.3,20.04,113.85,0.21690000000000031,1.65,1.0500000000000007,9.291003499999999,1954355206.0,1922551,1.0500000000000007,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F1,571,204.22,129.73,357,0.259,21.62,20.74,20.04,106.95,0.21690000000000031,1.65,1.6800000000000033,9.291003499999999,1954355206.0,1922551,1.6800000000000033,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F1,560,175.575,324.498,368,0.372,21.74,21.12,20.04,116.21,0.21690000000000031,1.65,1.8000000000000007,9.291003499999999,1954355206.0,1922551,1.8000000000000007,1.6477829317987454,19.88,1954355205.9539955,1922551.2977389772
F1,388,310.293,220.148,372,0.346,21.14,20.48,20.02,114.41,0.2211000000000003,1.66,1.2200000000000024,9.280566499999999,1907947850.0,1965734,1.2200000000000024,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F1,393,434.904,18.061,191,0.22,21.04,20.2,20.02,89.09,0.2211000000000003,1.66,1.120000000000001,9.280566499999999,1907947850.0,1965734,1.120000000000001,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F1,364,461.075,786.365,480,0.426,21.0,20.11,20.02,93.7,0.2211000000000003,1.66,1.0800000000000018,9.280566499999999,1907947850.0,1965734,1.0800000000000018,1.6637957093870013,19.86,1907947850.2405274,1965733.9793686294
F1,311,51.93,187.867,461,0.508,22.13,20.67,20.1,103.61,0.22176318181818266,1.67,1.7,9.278918493181816,1900721526.0,1972440,2.129999999999999,1.6663383204534274,19.856841991341987,1900721525.9032202,1972439.8027406943
F1,352,249.665,451.35,432,0.309,21.25,20.34,20.01,103.74,0.22319999999999984,1.67,1.3399999999999999,9.275348000000001,1885159062.0,1986857,1.3399999999999999,1.6718603572044655,19.85,1885159061.6643045,1986856.7482599688
F1,464,340.665,307.723,432,0.177,21.83,20.7,20.01,91.29,0.22319999999999984,1.67,1.9199999999999982,9.275348000000001,1885159062.0,1986857,1.9199999999999982,1.6718603572044655,19.85,1885159061.6643045,1986856.7482599688
F1,284,193.238,500.106,431,0.466,20.83,20.1,20.0,112.36,0.22530000000000006,1.68,0.9299999999999997,9.2701295,1862642465.0,2007643,0.9299999999999997,1.6799640954848134,19.84,1862642465.477762,2007643.3864019802
F1,369,825.349,606.238,436,0.454,21.77,20.79,20.0,110.63,0.22530000000000006,1.68,1.870000000000001,9.2701295,1862642465.0,2007643,1.870000000000001,1.6799640954848134,19.84,1862642465.477762,2007643.3864019802
F1,295,445.246,622.988,466,0.527,21.56,20.49,20.0,101.89,0.22530000000000006,1.68,1.6600000000000001,9.2701295,1862642465.0,2007643,1.6600000000000001,1.6799640954848134,19.84,1862642465.477762,2007643.3864019802
F1,316,721.808,688.04,448,0.371,21.79,20.83,19.99,103.36,0.2274000000000005,1.69,1.9000000000000021,9.264911,1840394811.0,2028076,1.9000000000000021,1.688107113704921,19.83,1840394810.5780067,2028076.133308543
F1,360,641.885,372.593,361,0.218,21.28,20.3,19.99,102.79,0.2274000000000005,1.69,1.3900000000000041,9.264911,1840394811.0,2028076,1.3900000000000041,1.688107113704921,19.83,1840394810.5780067,2028076.133308543
F1,213,113.806,521.844,526,0.592,21.7,20.73,19.98,72.75,0.22950000000000004,1.7,1.8200000000000003,9.2596925,1818412885.0,2048137,1.8200000000000003,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
F1,419,248.91,805.041,450,0.076,21.37,20.71,19.98,75.74,0.22950000000000004,1.7,1.490000000000002,9.2596925,1818412885.0,2048137,1.490000000000002,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
F1,375,394.411,672.023,196,0.272,21.07,20.23,19.98,93.69,0.22950000000000004,1.7,1.1900000000000013,9.2596925,1818412885.0,2048137,1.1900000000000013,1.6962896022600826,19.82,1818412884.693729,2048137.2993165182
